Cluster,Label,Rank,Word
0,Derivatives & Equity Instruments,1,recorded
0,Derivatives & Equity Instruments,2,contractual
0,Derivatives & Equity Instruments,3,repurchase
0,Derivatives & Equity Instruments,4,respectively
0,Derivatives & Equity Instruments,5,instrument
0,Derivatives & Equity Instruments,6,derivative
0,Derivatives & Equity Instruments,7,restricted
0,Derivatives & Equity Instruments,8,hedge
0,Derivatives & Equity Instruments,9,dividend
0,Derivatives & Equity Instruments,10,distinct
1,Corporate Governance & Legal,1,transaction
1,Corporate Governance & Legal,2,director
1,Corporate Governance & Legal,3,officer
1,Corporate Governance & Legal,4,chief
1,Corporate Governance & Legal,5,executive
1,Corporate Governance & Legal,6,obligation
1,Corporate Governance & Legal,7,vice
1,Corporate Governance & Legal,8,court
1,Corporate Governance & Legal,9,disclosure
1,Corporate Governance & Legal,10,audit
2,Asset Valuation & Accounting,1,deferred
2,Asset Valuation & Accounting,2,valuation
2,Asset Valuation & Accounting,3,asset
2,Asset Valuation & Accounting,4,judgment
2,Asset Valuation & Accounting,5,allowance
2,Asset Valuation & Accounting,6,interest
2,Asset Valuation & Accounting,7,goodwill
2,Asset Valuation & Accounting,8,rate
2,Asset Valuation & Accounting,9,provision
2,Asset Valuation & Accounting,10,amortization
3,Revenue & Lease Accounting,1,account
3,Revenue & Lease Accounting,2,offset
3,Revenue & Lease Accounting,3,decrease
3,Revenue & Lease Accounting,4,present
3,Revenue & Lease Accounting,5,consideration
3,Revenue & Lease Accounting,6,less
3,Revenue & Lease Accounting,7,gross
3,Revenue & Lease Accounting,8,revenue
3,Revenue & Lease Accounting,9,adversely
3,Revenue & Lease Accounting,10,lease
4,Strategic & Operational Context,1,summarized
4,Strategic & Operational Context,2,compared
4,Strategic & Operational Context,3,unit
4,Strategic & Operational Context,4,gain
4,Strategic & Operational Context,5,collaboration
4,Strategic & Operational Context,6,guarantee
4,Strategic & Operational Context,7,secure
4,Strategic & Operational Context,8,driven
4,Strategic & Operational Context,9,internet
4,Strategic & Operational Context,10,federal
