Word,Degree (norm),Degree (raw),Betweenness,Closeness
csco,0.007,20,7e-05,0.396806
united,0.068253,195,0.006872,0.48721
state,0.081554,233,0.006264,0.491569
security,0.174309,498,0.017418,0.531535
washington,0.0028,8,9e-06,0.365392
mark,0.022751,65,0.004464,0.421635
one,0.059853,171,0.004209,0.490388
ended,0.049002,140,0.00131,0.476564
transition,0.020651,59,0.000481,0.456536
cisco,0.145257,415,0.025003,0.528878
system,0.077354,221,0.005111,0.498169
inc,0.070704,202,0.010901,0.490893
exact,0.0035,10,7.4e-05,0.374492
name,0.012251,35,0.000413,0.417141
specified,0.013301,38,0.000524,0.410606
charter,0.0035,10,1.6e-05,0.353065
delaware,0.0049,14,2e-05,0.352585
jurisdiction,0.015401,44,0.000264,0.414478
incorporation,0.00875,25,0.0002,0.386813
organization,0.033952,97,0.002404,0.462073
irs,0.00805,23,3.8e-05,0.391692
employer,0.00385,11,2.2e-05,0.345007
identification,0.0091,26,0.000257,0.408435
west,0.00455,13,1.3e-05,0.3347
tasman,0.00455,13,7e-06,0.334035
drive,0.014701,42,0.000524,0.4268
san,0.014001,40,0.000353,0.37987
jose,0.014701,42,0.000602,0.377511
california,0.022051,63,0.001508,0.405191
address,0.018551,53,0.000852,0.429818
principal,0.056003,160,0.005767,0.474348
executive,0.040602,116,0.001581,0.456682
office,0.0091,26,0.000244,0.392068
zip,0.00315,9,2.2e-05,0.363949
code,0.021001,60,0.00076,0.42351
telephone,0.0098,28,0.000787,0.395323
area,0.056703,162,0.003046,0.473405
registered,0.020651,59,0.000753,0.433931
title,0.011201,32,0.0003,0.409841
class,0.00665,19,0.000278,0.389662
trading,0.010151,29,0.000408,0.402451
symbol,0.00595,17,0.000206,0.379769
common,0.049002,140,0.00213,0.464931
stock,0.099755,285,0.005476,0.502286
par,0.012251,35,0.000372,0.400084
value,0.155058,443,0.013274,0.522303
share,0.107805,308,0.006369,0.505217
nasdaq,0.0091,26,0.000197,0.401546
market,0.19251,550,0.013954,0.534318
llc,0.00875,25,0.000851,0.421138
none,0.013301,38,0.000573,0.414539
indicate,0.028701,82,0.001016,0.439066
check,0.023101,66,0.00113,0.423887
well,0.076654,219,0.005814,0.492671
known,0.007,20,7.9e-05,0.378661
seasoned,0.0028,8,8e-06,0.359416
defined,0.023101,66,0.000377,0.441986
rule,0.031852,91,0.002174,0.453132
required,0.080504,230,0.005641,0.492247
whether,0.036052,103,0.001316,0.463047
preceding,0.021701,62,0.001413,0.435784
month,0.031852,91,0.00083,0.449214
shorter,0.011201,32,0.00026,0.41043
subject,0.077704,222,0.004904,0.493949
requirement,0.087504,250,0.010668,0.49489
past,0.067553,193,0.004968,0.481382
day,0.028001,80,0.001359,0.440012
submitted,0.00525,15,9e-06,0.359869
electronically,0.00945,27,0.000394,0.400926
every,0.013301,38,0.000374,0.409841
interactive,0.0063,18,0.000165,0.360687
data,0.084354,241,0.008228,0.496438
regulation,0.030802,88,0.002133,0.456974
chapter,0.00315,9,6e-06,0.352585
submit,0.010151,29,0.000473,0.383336
large,0.039202,112,0.00431,0.458587
accelerated,0.00525,15,0.0,0.367886
filer,0.0049,14,2e-06,0.367129
non,0.050753,145,0.005885,0.482601
smaller,0.0028,8,0.0,0.358469
reporting,0.057403,164,0.002743,0.469284
company,0.125306,358,0.01261,0.515053
emerging,0.026601,76,0.000502,0.445154
growth,0.061603,176,0.005532,0.48605
see,0.057753,165,0.002179,0.483009
definition,0.010501,30,0.00073,0.414178
elected,0.010151,29,0.000373,0.416715
extended,0.018901,54,0.00081,0.430077
complying,0.0035,10,2.8e-05,0.369742
new,0.094155,269,0.007065,0.498691
revised,0.0035,10,2e-05,0.369982
financial,0.20546,587,0.022081,0.543362
accounting,0.071404,204,0.008951,0.478479
standard,0.061953,177,0.003153,0.482846
attestation,0.0035,10,1.5e-05,0.357886
management,0.105355,301,0.00771,0.505932
assessment,0.012601,36,0.000142,0.417568
effectiveness,0.024151,69,0.000651,0.435518
internal,0.071754,205,0.003546,0.482194
control,0.074554,213,0.004566,0.484895
sarbanes,0.0063,18,0.000181,0.382719
oxley,0.00665,19,0.000249,0.383027
public,0.033952,97,0.002087,0.462223
firm,0.022751,65,0.000644,0.441304
prepared,0.00595,17,9.3e-05,0.386029
issued,0.046552,133,0.00254,0.474664
audit,0.044452,127,0.002586,0.455517
shell,0.00315,9,1.6e-05,0.368931
aggregate,0.030802,88,0.000892,0.446965
held,0.047952,137,0.002664,0.468745
affiliate,0.0091,26,0.000265,0.423134
based,0.179559,513,0.017047,0.533122
upon,0.065103,186,0.003177,0.485967
closing,0.00665,19,5.7e-05,0.386081
price,0.094155,269,0.004896,0.495835
january,0.012951,37,0.000302,0.413459
reported,0.035352,101,0.001491,0.459177
global,0.058453,167,0.005606,0.48033
select,0.0077,22,7.2e-05,0.389768
date,0.069653,199,0.004287,0.482764
outstanding,0.035352,101,0.000705,0.444877
september,0.039902,114,0.007153,0.438526
document,0.021001,60,0.001801,0.414178
reference,0.025901,74,0.000987,0.447455
portion,0.030102,86,0.00051,0.451343
definitive,0.00315,9,1.1e-05,0.34401
proxy,0.011551,33,5.7e-05,0.411434
meeting,0.012951,37,0.000425,0.408727
stockholder,0.043752,125,0.003402,0.46478
december,0.015401,44,0.000678,0.410902
iii,0.010151,29,3.1e-05,0.39958
indicated,0.00945,27,0.000432,0.39653
business,0.182709,522,0.012005,0.532426
risk,0.148757,425,0.013021,0.518512
factor,0.101155,289,0.007994,0.499825
unresolved,0.00525,15,5.2e-05,0.389131
staff,0.00805,23,0.000127,0.412504
comment,0.00455,13,1.4e-05,0.383079
property,0.057053,163,0.00527,0.472231
legal,0.048302,138,0.002263,0.470211
proceeding,0.023451,67,0.000615,0.422946
mine,0.00455,13,5e-06,0.383593
safety,0.007,20,4.1e-05,0.397081
disclosure,0.038152,109,0.000855,0.458587
equity,0.060553,173,0.002,0.476723
matter,0.054953,157,0.002783,0.477121
purchase,0.108855,311,0.005268,0.505485
reserved,0.00525,15,0.000101,0.406401
discussion,0.022051,63,0.000275,0.448368
analysis,0.017851,51,0.000526,0.443358
condition,0.105355,301,0.006593,0.502462
operation,0.106055,303,0.006598,0.505485
quantitative,0.007,20,4.2e-05,0.399636
qualitative,0.007,20,4.2e-05,0.397966
supplementary,0.00595,17,0.000191,0.39841
change,0.149107,426,0.011636,0.51645
disagreement,0.0035,10,2e-06,0.383181
accountant,0.00805,23,2.6e-05,0.403474
procedure,0.032902,94,0.000441,0.44564
information,0.090305,258,0.005917,0.499913
officer,0.045852,131,0.003304,0.462073
director,0.054253,155,0.010796,0.452415
corporate,0.031152,89,0.000954,0.437922
governance,0.010851,31,0.000239,0.387442
compensation,0.068253,195,0.002615,0.486546
ownership,0.014001,40,0.000441,0.432879
beneficial,0.00805,23,0.000114,0.387863
owner,0.0049,14,1e-06,0.380122
relationship,0.032202,92,0.001286,0.452415
transaction,0.066853,191,0.002621,0.483582
independence,0.0049,14,2.3e-05,0.392823
fee,0.014701,42,0.000193,0.419161
service,0.215611,616,0.013804,0.549634
schedule,0.007,20,4.5e-05,0.389928
summary,0.024501,70,0.000415,0.448157
signature,0.013651,39,0.000856,0.411731
contains,0.0056,16,6.9e-05,0.392823
forward,0.036752,105,0.000865,0.459325
looking,0.019951,57,8.1e-05,0.432879
regarding,0.051803,148,0.002439,0.477919
future,0.152258,435,0.008952,0.525184
event,0.046902,134,0.001963,0.464553
safe,0.0028,8,0.0,0.370654
harbor,0.00245,7,0.0,0.368265
created,0.0028,8,1.1e-05,0.374345
amended,0.021001,60,0.000632,0.427631
historical,0.021701,62,0.000768,0.45263
fact,0.026951,77,0.002496,0.424706
deemed,0.00945,27,4e-05,0.398855
current,0.067203,192,0.00149,0.488126
expectation,0.022051,63,0.000743,0.439268
estimate,0.075954,217,0.003755,0.477759
forecast,0.017151,49,0.000232,0.425973
projection,0.0098,28,0.0,0.404045
industry,0.071054,203,0.004319,0.487709
operate,0.024151,69,0.000937,0.444462
belief,0.0077,22,1.1e-05,0.368693
assumption,0.036752,105,0.001446,0.451985
word,0.007,20,1e-06,0.362517
expects,0.00875,25,0.000138,0.410902
anticipates,0.0035,10,0.0,0.352673
target,0.00805,23,1.1e-05,0.382105
goal,0.023801,68,0.000905,0.446685
project,0.021001,60,0.001088,0.426609
intends,0.0035,10,0.0,0.350251
plan,0.098005,280,0.004772,0.500263
momentum,0.0035,10,0.0,0.349651
seek,0.019601,56,0.000959,0.428336
continues,0.00595,17,6e-06,0.363024
endeavor,0.0035,10,0.0,0.338668
strives,0.0035,10,0.0,0.339432
variation,0.00875,25,0.000197,0.406112
similar,0.045852,131,0.004311,0.469207
expression,0.0035,10,0.0,0.34744
intended,0.00945,27,8.3e-05,0.393201
identify,0.012601,36,0.000115,0.417385
addition,0.103255,295,0.010609,0.508997
refer,0.022051,63,0.00098,0.451628
performance,0.080504,230,0.005403,0.492756
anticipated,0.012951,37,8.1e-05,0.417996
trend,0.018551,53,0.000148,0.445224
effect,0.075254,215,0.004704,0.488042
response,0.021351,61,0.000757,0.442534
covid,0.013651,39,8.2e-05,0.41769
pandemic,0.016451,47,0.000256,0.427183
characterization,0.0035,10,0.0,0.373806
circumstance,0.038852,111,0.001565,0.456755
reader,0.0028,8,0.0,0.356457
cautioned,0.0028,8,0.0,0.356368
prediction,0.00315,9,0.0,0.358155
uncertainty,0.046552,133,0.003419,0.470211
difficult,0.033602,96,0.001681,0.448931
predict,0.021701,62,0.00018,0.431506
identified,0.011201,32,0.000201,0.42058
elsewhere,0.010851,31,0.000802,0.405939
actual,0.034652,99,0.002777,0.450915
differ,0.020651,59,0.001751,0.445293
materially,0.047952,137,0.002081,0.472388
adversely,0.033252,95,0.000711,0.461924
expressed,0.0035,10,1e-06,0.342648
undertake,0.0028,8,0.0,0.342115
obligation,0.073504,210,0.004931,0.486463
revise,0.00315,9,7.4e-05,0.359236
update,0.032202,92,0.001392,0.459103
reason,0.019251,55,0.001186,0.440487
general,0.034302,98,0.002527,0.463197
design,0.017501,50,0.000496,0.43819
sell,0.033602,96,0.001127,0.45844
broad,0.012251,35,1.6e-05,0.434922
range,0.022751,65,0.000163,0.446685
technology,0.153308,438,0.022588,0.523836
power,0.028701,82,0.002215,0.441577
internet,0.033252,95,0.001724,0.449426
integrating,0.00595,17,2.8e-05,0.407386
platform,0.017851,51,0.000573,0.433799
across,0.039202,112,0.001879,0.45999
networking,0.058453,167,0.002683,0.47872
collaboration,0.038152,109,0.001344,0.460213
application,0.053203,152,0.006542,0.471764
cloud,0.046202,132,0.002536,0.462672
designed,0.041302,118,0.001728,0.472388
help,0.038502,110,0.001416,0.453708
customer,0.264963,757,0.025363,0.561849
manage,0.034302,98,0.001166,0.455589
user,0.022751,65,0.000281,0.442397
device,0.00875,25,3e-06,0.404904
thing,0.011201,32,0.0003,0.402168
connecting,0.0035,10,5e-06,0.370606
network,0.087854,251,0.011265,0.492162
enable,0.011551,33,7.9e-05,0.418792
highly,0.029751,85,0.001824,0.444877
secure,0.037802,108,0.000833,0.457926
intelligent,0.0028,8,3e-06,0.376317
digital,0.011901,34,0.000247,0.420332
globally,0.020301,58,0.000341,0.425275
conduct,0.018551,53,0.000508,0.43242
geography,0.00805,23,0.000151,0.408551
organized,0.0091,26,0.000162,0.408493
following,0.105355,301,0.01187,0.50746
three,0.023801,68,0.000852,0.448649
geographic,0.030452,87,0.000854,0.456974
segment,0.057403,164,0.002209,0.481057
america,0.031852,91,0.00142,0.449497
europe,0.007,20,0.000248,0.374296
middle,0.0042,12,8.6e-05,0.348755
east,0.0035,10,0.0,0.334936
africa,0.0035,10,0.0,0.332829
emea,0.019601,56,0.000504,0.422633
asia,0.0084,24,0.000203,0.393418
pacific,0.00385,11,0.000118,0.375082
japan,0.00455,13,9.4e-05,0.383696
china,0.017151,49,0.001172,0.415201
apjc,0.020651,59,0.000385,0.43053
product,0.297515,850,0.037666,0.574502
grouped,0.0035,10,9.7e-05,0.400308
category,0.044102,126,0.002512,0.466678
infrastructure,0.028701,82,0.001482,0.455009
offering,0.074904,214,0.012155,0.486463
technical,0.033252,95,0.001577,0.449214
support,0.044452,127,0.001162,0.461775
advanced,0.013651,39,0.000474,0.423761
increasingly,0.00595,17,2.7e-05,0.399692
delivering,0.00805,23,9e-05,0.404445
software,0.084704,242,0.004122,0.490809
size,0.0098,28,9.1e-05,0.42176
institution,0.016801,48,0.000765,0.428015
government,0.029401,84,0.001107,0.458661
provider,0.056703,162,0.001084,0.478079
webscale,0.0091,26,0.000303,0.407328
often,0.016101,46,0.000674,0.420766
look,0.0035,10,7.4e-05,0.382463
strategic,0.052853,151,0.003462,0.473798
partner,0.061953,177,0.001377,0.485224
differentiate,0.00315,9,1e-05,0.374443
positive,0.0077,22,6.1e-05,0.400701
outcome,0.033952,97,0.001227,0.457706
headquarters,0.014701,42,0.000604,0.394341
became,0.00315,9,2.4e-05,0.359416
effective,0.048302,138,0.003659,0.47427
mailing,0.0028,8,8e-06,0.321879
location,0.023801,68,0.001898,0.440284
website,0.011201,32,0.000293,0.40087
www,0.0042,12,3.5e-05,0.352716
com,0.0063,18,0.000219,0.369312
link,0.0056,16,0.000194,0.379416
investor,0.015051,43,0.000951,0.413998
relation,0.0063,18,0.000108,0.37157
make,0.060203,172,0.005265,0.477839
available,0.082954,237,0.004604,0.487959
soon,0.0035,10,3e-05,0.366705
reasonably,0.026251,75,0.001288,0.427951
practicable,0.00315,9,4e-06,0.366188
furnished,0.0056,16,1.1e-05,0.3741
sec,0.013301,38,0.000122,0.410843
gov,0.00245,7,1e-06,0.355304
quarterly,0.015051,43,0.000203,0.415927
amendment,0.010851,31,0.000387,0.389237
free,0.031852,91,0.000713,0.437787
charge,0.062303,178,0.001481,0.47752
published,0.013301,38,0.000184,0.416776
referenced,0.0021,6,0.0,0.348075
strategy,0.042352,121,0.003673,0.472075
priority,0.029051,83,0.002065,0.456755
add,0.012951,37,0.000202,0.412861
connection,0.032902,94,0.001131,0.452845
enterprise,0.044452,127,0.002447,0.465537
move,0.0042,12,5e-06,0.381238
multicloud,0.00525,15,5e-06,0.381187
environment,0.047952,137,0.00436,0.472857
becomes,0.010151,29,9.3e-05,0.409782
even,0.015051,43,0.000518,0.427439
critical,0.032202,92,0.001464,0.451485
navigating,0.0028,8,4e-06,0.377511
unprecedented,0.0021,6,0.0,0.373269
pace,0.00525,15,0.0,0.397081
transform,0.0042,12,1.9e-05,0.373757
expand,0.00665,19,2e-06,0.389343
analytics,0.012251,35,0.000162,0.414779
need,0.059503,170,0.002808,0.479041
believe,0.064753,185,0.005709,0.486546
team,0.0098,28,0.000223,0.403019
driven,0.031152,89,0.00116,0.462073
automation,0.00525,15,8e-05,0.395926
private,0.013651,39,0.000364,0.399301
hybrid,0.012251,35,0.000311,0.412623
reimagine,0.0021,6,1e-06,0.367649
work,0.028701,82,0.002413,0.448509
several,0.026601,76,0.001814,0.444462
next,0.010851,31,0.000348,0.41623
view,0.0056,16,1.1e-05,0.413818
modern,0.0028,8,5e-06,0.368265
adding,0.00035,1,0.0,0.321083
able,0.021351,61,0.001648,0.441372
build,0.017501,50,0.000487,0.43585
quickly,0.0084,24,0.00011,0.409958
deploy,0.0056,16,1.3e-05,0.396861
monitor,0.010151,29,4.3e-05,0.409136
real,0.012251,35,0.00105,0.430142
time,0.115506,330,0.011762,0.510361
experience,0.052153,149,0.004296,0.478079
